repo_path	branch	has_upstream	ahead	behind	in_default	last_commit_date	checked_out_in
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/podyom-iz-osnovnogo-dereva	no	n/a	n/a	no	2026-09-24T05:44	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/podyom-iz-osnovnogo-dereva
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pokrytie-chtenie-i-klassifikaciya	no	n/a	n/a	yes	2026-09-17T12:05	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pokrytie-chtenie-i-klassifikaciya
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pokrytie-geyt-i-schyotchik	no	n/a	n/a	yes	2026-09-17T12:32	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pokrytie-geyt-i-schyotchik
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pole-zakryt-u-uroka	yes	0	0	yes	2026-09-21T14:51	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pole-zakryt-u-uroka
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/potok-3-skilly	yes	0	0	yes	2026-08-31T21:19	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/potok-3-skilly
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/potok-4-vynos	yes	0	0	yes	2026-08-31T23:05	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/potok-4-vynos
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/potok-zapuska-i-cena	yes	0	0	yes	2026-09-21T14:25	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/potok-zapuska-i-cena
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/potolok-iz-mandata	yes	1	0	no	2026-09-23T01:35	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/potolok-iz-mandata
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pozitsiya-lyogkaya	yes	0	0	no	2026-09-23T21:51	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pozitsiya-lyogkaya
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pre-commit-obhod-dveryu	yes	0	0	no	2026-09-23T17:03	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pre-commit-obhod-dveryu
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pre-commit-odin-diff	yes	0	0	no	2026-09-23T22:33	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pre-commit-odin-diff
